,Survived,Pclass,Sex,Parch,Ticket,Embarked,Age Category,Fare Category,Sibsp Category
0,0,3,male,0,330911,Q,Adult,Low,Low
1,1,3,female,0,363272,S,Adult,Low,Low
2,0,2,male,0,240276,Q,Elderly,Low,Low
3,0,3,male,0,315154,S,Young Adult,Low,Low
4,1,3,female,1,3101298,S,Young Adult,Low,Low
5,0,3,male,0,7538,S,Teenager,Low,Low
6,1,3,female,0,330972,Q,Young Adult,Low,Low
7,0,2,male,1,248738,S,Young Adult,Low,Low
8,1,3,female,0,2657,C,Teenager,Low,Low
9,0,3,male,0,A/4 48871,S,Young Adult,Low,Low
11,0,1,male,0,694,S,Adult,Low,Low
12,1,1,female,0,21228,S,Young Adult,Low,Low
13,0,2,male,0,24065,S,Elderly,Low,Low
14,1,1,female,0,W.E.P. 5734,S,Adult,Low,Low
15,1,2,female,0,SC/PARIS 2167,C,Young Adult,Low,Low
16,0,2,male,0,233734,Q,Adult,Low,Low
17,0,3,male,0,2692,C,Young Adult,Low,Low
18,1,3,female,0,STON/O2. 3101270,S,Young Adult,Low,Low
19,1,3,female,0,2696,C,Adult,Low,Low
20,0,1,male,0,PC 17603,C,Adult,Low,Low
21,0,3,male,1,C 17368,S,child,Low,Low
23,0,1,male,1,PC 17597,C,Young Adult,Low,Low
24,1,1,female,3,PC 17608,C,Adult,Medium,Low
25,0,3,male,0,A/5. 3337,S,Adult,Low,Low
26,1,1,female,1,113509,C,Young Adult,Low,Low
27,0,3,male,0,2698,C,Young Adult,Low,Low
28,0,1,male,0,113054,S,Adult,Low,Low
30,0,2,male,0,SC/AH 3085,S,Adult,Low,Low
31,0,2,male,0,C.A. 31029,S,Young Adult,Low,Low
32,1,3,female,2,C.A. 2315,S,Adult,Low,Low
34,0,1,male,0,13236,C,Young Adult,Low,Low
35,0,3,male,0,2682,C,Teenager,Low,Low
37,1,3,female,0,315087,S,Young Adult,Low,Low
38,0,3,male,0,345768,S,Young Adult,Low,Low
40,0,3,male,1,349256,C,Adult,Low,Low
42,0,3,male,0,SOTON/O.Q. 3101263,S,Adult,Low,Low
43,1,2,female,0,237249,S,Young Adult,Low,Low
44,1,1,female,0,11753,S,Adult,Low,Low
45,0,3,male,0,STON/O 2. 3101291,S,Young Adult,Low,Low
46,0,1,male,0,PC 17594,C,Adult,Low,Low
