,Survived,Pclass,Sex,Parch,Embarked,Age Category,Fare Category,Sibsp Category
0,0,3,male,0,Q,Adult,General,Low
1,1,3,female,0,S,Elderly,General,Low
2,0,2,male,0,Q,Elderly,General,Low
3,0,3,male,0,S,Adult,General,Low
4,1,3,female,1,S,Young Adult,General,Low
5,0,3,male,0,S,Teenager,General,Low
6,1,3,female,0,Q,Adult,General,Low
7,0,2,male,1,S,Adult,General,Low
8,1,3,female,0,C,Teenager,General,Low
9,0,3,male,0,S,Young Adult,General,Low
11,0,1,male,0,S,Elderly,General,Low
12,1,1,female,0,S,Young Adult,General,Low
13,0,2,male,0,S,Elderly,General,Low
14,1,1,female,0,S,Elderly,General,Low
15,1,2,female,0,C,Young Adult,General,Low
16,0,2,male,0,Q,Adult,General,Low
17,0,3,male,0,C,Young Adult,General,Low
18,1,3,female,0,S,Adult,General,Low
19,1,3,female,0,C,Elderly,General,Low
20,0,1,male,0,C,Elderly,General,Low
21,0,3,male,1,S,child,General,Low
23,0,1,male,1,C,Young Adult,General,Low
24,1,1,female,3,C,Elderly,Second,Low
25,0,3,male,0,S,Elderly,General,Low
26,1,1,female,1,C,Young Adult,General,Low
27,0,3,male,0,C,Young Adult,General,Low
28,0,1,male,0,S,Elderly,General,Low
30,0,2,male,0,S,Elderly,General,Low
31,0,2,male,0,S,Young Adult,General,Low
32,1,3,female,2,S,Adult,General,Low
34,0,1,male,0,C,Adult,General,Low
35,0,3,male,0,C,Young Adult,General,Low
37,1,3,female,0,S,Young Adult,General,Low
38,0,3,male,0,S,Young Adult,General,Low
40,0,3,male,1,C,Adult,General,Low
42,0,3,male,0,S,Elderly,General,Low
43,1,2,female,0,S,Adult,General,Low
44,1,1,female,0,S,Elderly,General,Low
45,0,3,male,0,S,Young Adult,General,Low
46,0,1,male,0,C,Elderly,General,Low
48,1,1,female,0,C,Elderly,General,Low
49,1,3,female,2,S,Adult,General,Low
50,0,1,male,0,S,Young Adult,General,Low
51,0,2,male,0,C,Adult,General,Low
52,1,2,female,1,S,Young Adult,General,Low
53,1,1,female,2,S,Adult,Second,Medium
55,0,3,male,1,Q,child,General,Medium
56,0,3,male,0,S,Adult,General,Low
57,0,3,male,0,S,Young Adult,General,Low
59,1,1,female,0,C,Adult,Second,Low
60,0,3,male,0,S,Teenager,General,Low
61,0,2,male,0,S,Adult,General,Low
62,0,3,male,0,S,Teenager,General,Low
63,1,3,female,0,Q,Young Adult,General,Low
64,0,1,male,2,C,Teenager,Second,Low
66,1,3,female,0,Q,Teenager,General,Low
67,0,1,male,0,S,Elderly,General,Low
68,0,1,male,0,C,Adult,General,Low
69,1,1,female,4,S,Elderly,Second,Low
70,1,3,female,0,Q,Young Adult,General,Low
71,0,3,male,0,S,Young Adult,General,Low
72,1,3,female,0,S,Adult,General,Low
73,0,1,male,0,C,Adult,General,Low
74,1,1,female,0,C,Adult,Second,Low
75,0,1,male,0,C,Adult,Second,Low
77,1,1,female,0,S,Elderly,General,Low
78,0,2,male,0,S,Adult,General,Low
79,1,3,female,0,Q,Young Adult,General,Low
80,0,3,male,1,C,child,General,Low
81,0,1,male,0,S,Elderly,Second,Low
82,0,1,male,0,S,Elderly,General,Low
86,1,3,female,0,Q,Adult,General,Low
87,1,3,female,0,S,Teenager,General,Low
89,0,2,male,1,S,Infant,General,Low
90,1,3,female,0,S,Young Adult,General,Low
92,1,1,female,2,S,Adult,General,Low
94,0,1,male,0,C,Young Adult,General,Low
95,0,3,male,0,S,Young Adult,General,Low
96,1,1,female,0,S,Elderly,General,Low
97,0,3,male,0,S,Adult,General,Low
